test	text	postcode
DCPS:1332506121	BLACKFEN ROAD, SIDCUP	 DA15 8QS
DCPS:1457320959	PICARDY ROAD, BELVEDERE	 DA17 5AX
DCPS:3347935084	HARVEL CRESCENT, ABBEY WOOD	 SE2 0QA
DCPS:3306723318	11 WOOLWICH ROAD, BELVEDERE	 DA17 5HR
DCPS:1376224312	ST AUGUSTINES ROAD, BELVEDERE	 DA17 5DF
DCPS:1352446650	CHURCH ROAD, BEXLEYHEATH, KENT	 DA7 4BD
DCPS:3938607805	HURST ROAD, SIDCUP, KENT	 DA15 9AX
DCPS:2110605228	96 FENDYKE ROAD, BELVEDERE	 DA17 5RN
DCPS:1908216792	BRAMPTON ROAD, BEXLEYHEATH	 DA7 5RL
DCPS:3071737865	BURNT OAK LANE, SIDCUP	 DA15 8WW
DCPS:3715554865	DULVERTON ROAD, NEW ELTHAM	 SE9 3RN
DCPS:2797363481	BLADINDON DRIVE, BEXLEY	 DA5 3ES
DCPS:4103942193	BARNEHURST CLOSE, ERITH, KENT	 DA8 3NA
DCPS:1943418490	BRAMPTON ROAD, BEXLEYHEATH	 DA7 4SJ
DCPS:4192874103	175 TOWN HALL SQUARE, CRAYFORD, KENT	 DA1 4FQ
DCPS:1284657453	ALBION ROAD, BEXLEYHEATH	 DA6 7PF
DCPS:4153541323	ALERS ROAD, BEXLEYHEATH, KENT	 DA6 8HR
DCPS:2064637227	BLACKFEN ROAD, SIDCUP	 DA15 8QY
DCPS:4274111837	FRONT OF 36 FROBISHER RD, OFF MANOR RD, ERITH	 DA8 2AX
DCPS:2158794698	HURST ROAD, BEXLEY	 DA5 3QJ
DCPS:3595616292	SIDCUP HILL, SIDCUP	 DA14 6JT
DCPS:3401311452	IRON MILL LANE, CRAYFORD, KENT	 DA1 4TS
DCPS:2329945238	CHROME ROAD, ERITH	 DA8 2EH
DCPS:1652294174	LONG LANE, BEXLEYHEATH	 DA7 5JH
DCPS:2481915368	BEXLEY LANE, CRAYFORD, KENT	 DA1 4BX
DCPS:1265757792	DAYS LANE, SIDCUP	 DA15 8EX
DCPS:3597657683	ENTRANCE UPPER WICKHAM LANE, WELLING	 DA16 3EH
DCPS:3915280133	FAIRFORD AVENUE, BEXLEYHEATH, KENT	 DA7 6QJ
DCPS:1311942126	167 MAIN ROAD, SIDCUP, KENT	 DA14 6RG
DCPS:4167044381	20 WHITEHALL LANE, ERITH, KENT	 DA8 2EF
DCPS:1027271584	BARNEHURST ROAD, RISEDALE ROAD, BEXLEYHEATH	 DA7 6GS
DCPS:3180568636	FORECOURT OF THE ANCHOR PUBLIC HSE, BRIDGEN ROAD, BEXLEY	 DA5 1EH
DCPS:3825808382	KALE ROAD, ERITH, KENT	 DA18 4BE
DCPS:1303490326	THE GREEN, BEXLEYHEATH	 DA7 5DT
DCPS:1256680793	CARLTON ROAD, SIDCUP, KENT	 DA14 6AP
DCPS:1443318332	TOWNLEY ROAD, BEXLEYHEATH, KENT	 DA5 1QQ
DCPS:1812053713	CROOK LOG, BEXLEYHEATH, KENT	 DA6 8DZ
DCPS:1080122860	48 THANET ROAD, BEXLEY	 DA5 1HS
DCPS:2126036979	MITCHELL CLOSE, BELVEDERE, KENT	 DA17 6DA
DCPS:3893329165	DAYS LANE, SIDCUP	 DA15 8NS
DCPS:3393242579	SHERWOOD PARK AVENUE, SIDCUP, KENT	 DA15 8NT
DCPS:2095897610	DARTFORD ROAD, BEXLEY	 DA5 2DL
DCPS:2730500802	EASTCOTE ROAD, WELLING, KENT	 DA16 2RU
DCPS:3463747366	DARLTON CLOSE, CRAYFORD	 DA1 4SX
DCPS:2240590092	NORTHWOOD PLACE, ERITH, KENT	 DA18 4HT
DCPS:2909758073	ALMA ROAD, SIDCUP, KENT	 DA14 4BA
DCPS:3070428277	ALMA ROAD, SIDCUP, KENT	 DA14 4BL
DCPS:3504191802	QUEEN STREET, ERITH	 DA8 1SN
DCPS:3194084667	BROOK STREET, ERITH, KENT	 DA8 1YA
DCPS:2062324755	WOODSIDE CRESCENT, SIDCUP, KENT	 DA15 7LE
DCPS:3967929867	BRAMPTON ROAD, BEXLEYHEATH, KENT	 DA7 4HA
DCPS:4206166723	WROTHAM ROAD, WELLING, KENT	 DA16 1NG
DCPS:3412620602	ELSA ROAD, WELLING	 DA16 1HQ
DCPS:3045201863	STATION ROAD, BELVEDERE	 DA17 5PS
DCPS:2944642940	LARNER ROAD, ERITH	 DA8 3SA
DCPS:2345922223	PELHAM ROAD -  NURSERY ENTRANCE, BEXLEYHEATH, KENT	 DA7 4NB
DCPS:2081903846	THE MORGAN P.H. - CAR PARK, CLYDESDALE WAY, BELVEDERE, KENT	 DA17 6GZ
DCPS:3898788713	IRON MILL LANE, CRAYFORD, KENT	 DA1 4ND
DCPS:2180494608	MOUNT ROAD, BEXLEYHEATH, KENT	 DA6 8JP
DCPS:1492994945	1 DAVIS WAY, SIDCUP	 DA14 5LU
DCPS:3367878893	Rangefield Primary School, Glenbow Road	 BR1 4RP
DCPS:3766869194	BAYLISS AVENUE, THAMESMEAD, LONDON	 SE28 8NJ
DCPS:2878771568	HURST ROAD, SIDCUP	 DA15 8WH
DCPS:1139856203	SHELDON ROAD, BEXLEYHEATH	 DA7 5PP
DCPS:2098649943	NUXLEY ROAD, BELVEDERE, KENT	 DA17 5LE
DCPS:1430050472	FRINSTED ROAD/BIRLING ROAD, ERITH, KENT	 DA8 3BB
DCPS:3880098666	SANDRINGHAM DRIVE, WELLING, KENT	 DA16 3RG
DCPS:2921855317	WICKHAM STREET, WELLING	 DA16 3HU
DCPS:2768219897	GRASS VERGE, OPPOSITE NO.22 ELLISON ROAD, SIDCUP	 DA15 8BP
DCPS:3002393338	HEATHFIELD ROAD, BEXLEYHEATH	 DA6 8DL
DCPS:4018170656	WESTBROOKE ROAD, WELLING, KENT	 DA16 1SA
DCPS:2047345809	MAYLANDS DRIVE, SIDCUP	 DA14 4PS
DCPS:3594916267	HADLOW ROAD, SIDCUP, KENT	 DA14 4HD
DCPS:1940806892	BEXLEY LANE, SIDCUP, KENT	 DA14 4JW
DCPS:2465048600	SIDMOUTH ROAD, WELLING, KENT	 DA16 1BS
DCPS:1857621056	FARADAY ROAD, WELLING	 DA16 2JN
DCPS:2280924770	GRASSINGTON ROAD, SIDCUP	 DA14 6ET
DCPS:3034201219	CROWDEN WAY, THAMESMEAD	 SE28 8HF
DCPS:3971415016	BINSEY WALK, THAMESMEAD	 SE2 9UJ
DCPS:3687070908	105 WEST STREET, ERITH, KENT	 DA8 1BL
DCPS:3522850104	PEARESWOOD ROAD, ERITH	 DA8 2PP
DCPS:3348959463	BOURNE ROAD, BEXLEY, KENT	 DA5 1PJ
DCPS:3691065235	HURLINGHAM ROAD, BEXLEYHEATH	 DA7 5QJ
DCPS:3449014454	NORTHUMBERLAND AVENUE, WELLING, KENT	 SE9 2RH
DCPS:1786742811	CHRIST CHURCH, BROADWAY, BEXLEYHEATH	 DA7 4JU
DCPS:2621713972	CHROME ROAD, ERITH	 DA8 2LR
DCPS:1861349034	THE GREEN, WELLING, KENT	 DA16 2LY
DCPS:3733363444	HURST ROAD, BEXLEY	 DA5 3HS
DCPS:1877184776	175 TOWN HALL SQUARE, CRAYFORD, KENT	 DA1 4BD
DCPS:3922635638	BELMONT ROAD, ERITH, KENT	 DA7 5EA
DCPS:3120384887	LESNEY PARK ROAD, ERITH	 DA8 3BY
DCPS:2143892747	JUNCTION CHESTER ROAD/RIDGEWAY EAST, SIDCUP	 DA15 8SA
DCPS:1025063423	IRON MILL LANE, CRAYFORD	 DA1 4TE
DCPS:2423689441	NORTH END ROAD/WESSEX DRIVE, ERITH	 DA8 3AB
DCPS:1698712587	SHERWOOD PARK AVENUE, SIDCUP	 DA15 9HJ
DCPS:3005319858	LENSBURY WAY, ABBEY WOOD	 SE2 9TQ
DCPS:2383480143	BEDONWELL ROAD/OPP. WESTERGATE ROAD, BELVEDERE	 DA7 5RG
DCPS:4285182752	BROOK STREET, ERITH, KENT	 DA8 1YE
DCPS:2282513727	COPPERFIELD ROAD, THAMESMEAD	 SE28 8QB
DCPS:2269014291	FRINSTED ROAD/BIRLING ROAD, ERITH, KENT	 DA8 3JN
DCPS:1954792212	DANSON LANE, WELLING, KENT	 DA16 2JT
DCPS:1581077846	FORECOURT GREAT HARRY PH, PARSONAGE MANORWAY, ERITH, KENT	 DA17 6NB
DCPS:4150628190	SUFFOLK ROAD, SIDCUP, KENT	 DA14 5DQ
