test	text	postcode
DCPS:1332506121	BLACKFEN ROAD, SIDCUP	DA15 8QS
DCPS:1457320959	PICARDY ROAD, BELVEDERE	DA17 5AX
DCPS:3347935084	HARVEL CRESCENT, ABBEY WOOD	SE2 0QA
DCPS:3306723318	11 WOOLWICH ROAD, BELVEDERE	DA17 5HR
DCPS:2354976559	Peppermint Childrens Centre, Franklin Way, Croydon	
DCPS:3811918223	Highams Park United Reform Church Hall (38 Malvern Avenue - number 40 not listed), 40 Malvern Avenue, London	E4 9NP
DCPS:3938607805	HURST ROAD, SIDCUP, KENT	DA15 9AX
DCPS:2110605228	96 FENDYKE ROAD, BELVEDERE	DA17 5RN
DCPS:1908216792	BRAMPTON ROAD, BEXLEYHEATH	DA7 5RL
DCPS:3071737865	BURNT OAK LANE, SIDCUP	DA15 8WW
DCPS:3715554865	DULVERTON ROAD, NEW ELTHAM	SE9 3RN
DCPS:3427509921	Harris Primary Academy Coleraine Park, Glendish / Halefield Road, London	N17 9XT
DCPS:4103942193	BARNEHURST CLOSE, ERITH, KENT	DA8 3NA
DCPS:1943418490	BRAMPTON ROAD, BEXLEYHEATH	DA7 4SJ
DCPS:4192874103	175 TOWN HALL SQUARE, CRAYFORD, KENT	DA1 4FQ
DCPS:2711436988	Kings Church Centre, Junction Coxford Road/Dunkirk Road	
DCPS:4153541323	ALERS ROAD, BEXLEYHEATH, KENT	DA6 8HR
DCPS:2064637227	BLACKFEN ROAD, SIDCUP	DA15 8QY
DCPS:2188916353	Community Centre, St John's Centre, 80 St John's Road, Isleworth	TW7 6RU
DCPS:2797541918	BETHEL BAPTIST CHURCH, HEOL MISKIN, PONTYCLUN	CF72 9AJ
DCPS:4046803173	Youth Club, Boulogne Road, Croydon	
DCPS:3401311452	IRON MILL LANE, CRAYFORD, KENT	DA1 4TS
DCPS:2329945238	CHROME ROAD, ERITH	DA8 2EH
DCPS:1652294174	LONG LANE, BEXLEYHEATH	DA7 5JH
DCPS:2582101725	Whittlesford Memorial Hall, Mill Lane, Whittlesford	CB22 4NE
DCPS:1145597783	Community Hall, Cardigan Road, Crundale, Haverfordwest	SA62 4DF
DCPS:3373021109	Woodside Baptist Church - Hall, adjoining, Spring Lane, South, Norwood, London	
DCPS:1615600512	Balham Library Hall, 16 Ramsden Road, London	
DCPS:2466652361	Highlight Community Centre - Station B, Sterling Road, Barry	CF62 8NX
DCPS:4167044381	20 WHITEHALL LANE, ERITH, KENT	DA8 2EF
DCPS:1027271584	BARNEHURST ROAD, RISEDALE ROAD, BEXLEYHEATH	DA7 6GS
DCPS:3180568636	FORECOURT OF THE ANCHOR PUBLIC HSE, BRIDGEN ROAD, BEXLEY	DA5 1EH
DCPS:3529522014	Church Of St James The Less Winterbourne Newbury	RG20 8AU
DCPS:1303490326	THE GREEN, BEXLEYHEATH	DA7 5DT
DCPS:2772666850	Maswell Park Church, Heath Road, Hounslow	TW3 2NN
DCPS:3396857845	Caravan at the Chessington Garden Centre, Leatherhead Road, Malden Rushett	KT9 2NG
DCPS:1812053713	CROOK LOG, BEXLEYHEATH, KENT	DA6 8DZ
DCPS:1080122860	48 THANET ROAD, BEXLEY	DA5 1HS
DCPS:2948285748	Keyworth Primary School, Faunce Street	SE17 3TR
DCPS:2336377400	WANSTEAD AND SNARESBROOK CRICKET CLUB, NUTTER LANE FIELD, NUTTER LANE, Wanstead, LONDON	E11 2JA
DCPS:3393242579	SHERWOOD PARK AVENUE, SIDCUP, KENT	DA15 8NT
DCPS:2784219204	Whittington Community Ctre, Yerbury Road, London	N19 4RS
DCPS:2730500802	EASTCOTE ROAD, WELLING, KENT	DA16 2RU
DCPS:2729296479	Multicultural Day Centre (MILAAP), Acre Road, Kingston upon Thames	KT2 6EE
DCPS:2240590092	NORTHWOOD PLACE, ERITH, KENT	DA18 4HT
DCPS:2909758073	ALMA ROAD, SIDCUP, KENT	DA14 4BA
DCPS:1292184375	Brandon Library, 17 Maddock Way, London	SE17 3NH
DCPS:3504191802	QUEEN STREET, ERITH	DA8 1SN
DCPS:4098328911	Llawhaden Y.f.c. Hall, Llawhaden	SA67 8HR
DCPS:2017551743	Pontrhydyfen Community Centre, Morgans Terrace, Port Talbot	SA12 9TP
DCPS:2701152481	Community Hall, Trebanos, Swansea Road, Pontardawe	SA8 4BT
DCPS:4206166723	WROTHAM ROAD, WELLING, KENT	DA16 1NG
DCPS:3033830958	St Paul`s Church, Alexandra Road Entrance, Kingston upon Thames	KT2 7SF
DCPS:3222030935	Neath Civic Centre, Neath Civic Centre, Neath	SA11 3QZ
DCPS:2944642940	LARNER ROAD, ERITH	DA8 3SA
DCPS:2875612957	Llangwm Community Centre, Llangwm, Haverfordwest	SA62 4HT
DCPS:2316790124	Hampton Methodist Church Hall, Percy Road, Hampton	TW12 2JT
DCPS:3898788713	IRON MILL LANE, CRAYFORD, KENT	DA1 4ND
DCPS:1146158416	Coed Hirwaun Primary School, Margam Village, Coed Hirwaun, Margam, Port Talbot	SA13 2TS
DCPS:1034634706	Melin Advice Centre, 80 Briton Ferry Road, Neath	SA11 1AP
DCPS:3367878893	Rangefield Primary School, Glenbow Road	BR1 4RP
DCPS:2118113691	George Mitchell, Burchell Road, London	E10 5AZ
DCPS:2302661774	VIKING COMMUNITY CENTRE RADCLIFFE WAY NORTHOLT	
DCPS:2854804469	Village Hall, Main Street, Stow-cum-Quy	CB25 9AB
DCPS:3569193614	Crane Community Centre, Meadway, Twickenham	TW2 6PG
DCPS:1246271472	Barnhill Community Centre, Ayles Road, Hayes, Middlesex	UB4 9HG
DCPS:1615743269	GPA, Winkfield Road Community Centre, Winkfield Road, London	N22 5RP
DCPS:2921855317	WICKHAM STREET, WELLING	DA16 3HU
DCPS:2912878805	Sulhamstead Village Hall Sulhamstead Hill Sulhamstead Reading	RG7 4DD
DCPS:3002393338	HEATHFIELD ROAD, BEXLEYHEATH	DA6 8DL
DCPS:4018170656	WESTBROOKE ROAD, WELLING, KENT	DA16 1SA
DCPS:2047345809	MAYLANDS DRIVE, SIDCUP	DA14 4PS
DCPS:3594916267	HADLOW ROAD, SIDCUP, KENT	DA14 4HD
DCPS:4172593799	Village Hall, High Street, Harston	CB22 7PX
DCPS:1781468269	PARKHILL JUNIOR AND INFANT SCHOOL, LORD AVENUE, CLAYHALL, ILFORD	IG5 0DB
DCPS:3354457051	The Institute, Church Road, Johnston, Johnston, Haverfordwest	SA62 3HH
DCPS:2280924770	GRASSINGTON ROAD, SIDCUP	DA14 6ET
DCPS:3034201219	CROWDEN WAY, THAMESMEAD	SE28 8HF
DCPS:1846068472	West Ilsley Village Hall Main Street West Ilsley Newbury	RG20 7AR
DCPS:3687070908	105 WEST STREET, ERITH, KENT	DA8 1BL
DCPS:3522850104	PEARESWOOD ROAD, ERITH	DA8 2PP
DCPS:2226139265	Hayes Park School, Raynton Drive, Hayes, Middlesex	UB4 8BE
DCPS:1507780207	HAFOD PRIMARY SCHOOL, WAYNE STREET, TREHAFOD, PONTYPRIDD	CF37 2NL
DCPS:1255386937	Colville Primary School, Portobello Road Entrance, London	W11 2DF
DCPS:3893852909	Scout Hall West Street Newbury	RG14 1BE
DCPS:3576023385	St George`s Church Hall, Barrow, Road, Croydon,	
DCPS:1861349034	THE GREEN, WELLING, KENT	DA16 2LY
DCPS:1616841588	Harris Primary Academy Peckham Park, Marmont Road Entrance, London	SE15 5TD
DCPS:1666452218	St Saviour`s Church Hall, Herne Hill Road, London	SE24 0AY
DCPS:3123321222	Brixton Baptist Church, Corrance Road, London	SW2 5RD
DCPS:2153158390	ST PETERS CHURCH HALL SOUTHFIELD ROAD W4	
DCPS:2119221152	ALL SAINTS CHURCH HALL, RHYS STREET, TREALAW, TONYPANDY	
DCPS:1025063423	IRON MILL LANE, CRAYFORD	DA1 4TE
DCPS:2423689441	NORTH END ROAD/WESSEX DRIVE, ERITH	DA8 3AB
DCPS:1698712587	SHERWOOD PARK AVENUE, SIDCUP	DA15 9HJ
DCPS:1445786839	Caravan entrance to The Urban Farm, Faggs Road, Bedfont, Middlesex	TW14 0LZ
DCPS:2383480143	BEDONWELL ROAD/OPP. WESTERGATE ROAD, BELVEDERE	DA7 5RG
DCPS:4285182752	BROOK STREET, ERITH, KENT	DA8 1YE
DCPS:2282513727	COPPERFIELD ROAD, THAMESMEAD	SE28 8QB
DCPS:2326847948	The Hideaway, Stroud Green Play Centre, Ennis Road, London	N4 3HD
DCPS:1954792212	DANSON LANE, WELLING, KENT	DA16 2JT
