test	name	text	postcode
20A6CG	Bolton Great Moor Street Jobcentre	Great Moor Street, Bolton, Lancashire, Greater Manchester East and West	BL3 6DT
W9JVS	Dinnington Jobcentre	4 Church Lane, Dinnington, Sheffield, South Yorkshire, South Yorkshire	S25 2LZ
1WWJ5A	Coleford Jobcentre	4 Mushet Walk, Coleford, Gloucestershire, Gloucester & West of England	GL16 8BQ
KRS7Q	Thorne Jobcentre	Orchard Street, Thorne, Doncaster, South Yorkshire, South Yorkshire	DN8 5EQ
1XSR32	Alton Jobcentre	1-3 Butts Road, Alton, Hampshire, Hampshire and Isle of Wight	GU34 1LH
1FGFEM	Willenhall Jobcentre	Upper Lichfield Street, Willenhall, West Midlands, Black Country	WV13 1DH
1QHNBE	Woking Jobcentre	15-29 Goldsworth Road, Woking, Surrey, Surrey and Sussex	GU21 6JZ
159V4V	Arbroath Jobcentre	2 Chalmers Street, Arbroath, Angus, North Scotland	DD11 1PP
YX5KZ	Petersfield Jobcentre	14A Chapel Street, Petersfield, Hampshire, Hampshire and Isle of Wight	GU32 3DP
1Z0777	Blandford Jobcentre	50 East Street, Blandford, Dorset, Wessex	DT11 7UE
Y16SH	Cupar Jobcentre	7 Westport, Cupar, Fife, East and South East of Scotland	KY15 4AN
2MVBFE	Smethwick Jobcentre	Trinity House, High Street, Smethwick, West Midlands, Black Country	B66 3AD
14W8JJ	Broad Street Jobcentre	Centennial House, 100 Broad Street, Birmingham, West Midlands, Birmingham and Solihull	B15 1AU
163AS5	Wombwell Jobcentre	19 Kings Road, Wombwell, Barnsley, South Yorkshire, South Yorkshire	S73 0JE
20CM58	Seaham Jobcentre	Church View House, St Johns Square, Seaham, County Durham, Durham, Tees Valley	SR7 7JE
22VQ0V	Bedworth Jobcentre	12 High Street, Bedworth, Bedworth, Warwickshire, Mercia	CV12 8NF
XW2ZH	Dunoon Jobcentre	George Street, Dunoon, Argyll, West Scotland	PA23 8BB
2D573T	Cheltenham Jobcentre	Haywood House, 7 North Street, Cheltenham, Gloucestershire, Gloucester & West of England	GL50 4DJ
XXK2B	Oban Jobcentre	Mathieson House, 1 Miller Road, Oban, Argyll and Bute, West Scotland	PA34 4AF
R4SYF	Newton Aycliffe Jobcentre	Avenue House, The Avenue, Greenwell Road, Newton Aycliffe, County Durham, Durham, Tees Valley	DL5 4DH
2JE9C	Chippenham Jobcentre	Cyppa Court, Avenue La Fleche, Chippenham, Wiltshire, Wessex	SN15 3LH
2K1AZ7	Welshpool Jobcentre	New Dolanog House, Severn Road, Welshpool, Powys, North and Mid Wales	SY21 7AP
2TT50A	Renfrew Jobcentre	5 High Street, Renfrew, Renfrewshire, West Scotland	PA4 8QL
2JCAMZ	Buckie Jobcentre	Shanks Lane, Buckie, Banffshire, North Scotland	AB56 1AF
1G14SD	Hackney Jobcentre	271 Mare Street, Hackney, London, East London	E8 1EE
1DK7VJ	Ross on Wye Jobcentre	The Library, Cantilupe Road, Ross on Wye, Herefordshire	HR9 7AN
14NMH6	Crook Jobcentre	New Road, Crook, County Durham, Durham, Tees Valley	DL15 8LP
2RQR0V	Bolsover Jobcentre	Cavendish Walk, Bolsover, Derbyshire, Derbyshire	S44 6DB
1YCPF1	Bordon Jobcentre	2-4 Chalet Hill, Bordon, Hampshire, Hampshire and Isle of Wight	GU35 0TQ
A9JRE	Forres Jobcentre	Tytler Street, Forres, Morayshire, North Scotland	IV36 1EL
NZNN5	Maesteg Jobcentre	12-16 Commercial Street, Maesteg, Mid Glamorgan, South West Wales	CF34 9DF
YNP0W	Washwood Heath Jobcentre	295 Washwood Heath Road, Washwood Heath, Birmingham, West Midlands, Birmingham and Solihull	B8 2XX
PPK1C	Kidderminster Jobcentre	12 Lower Mill Street, Kidderminster, Worcestershire, Mercia	DY11 6TT
2YXV8B	Poole Jobcentre	Old Town Market, Dear Hay Lane, Poole, Dorset, Wessex	BH15 1NZ
1XQA0W	Coalville Jobcentre	Crown House, Whitwick Road,, Coalville, Leicestershire, Leicestershire and Northamptonshire	LE67 3FB
PWJ42	Abergavenny Jobcentre	Newbridge House, Tudor Street, Abergavenny, Gwent, South East Wales	NP7 5EF
S04N9	Kirkintilloch Jobcentre	Queen Street, Kirkintilloch, Lanarkshire, Glasgow, Lanarkshire and East Dunbartonshire	G66 1JN
QY0YC	Thornton Heath Jobcentre	72 High Street, Thornton Heath, Croydon, Essex, South London	CR7 8YY
WHE80	Liskeard Jobcentre	Bell House, 7-9 Church Street, Liskeard, Cornwall, Devon and Cornwall	PL14 3AG
21TAJC	Hereford Jobcentre	St. Nicholas House,, 6 St. Nicholas Street, Hereford, Herefordshire, Mercia	HR4 0DD
2ZANRK	Kilmarnock Jobcentre	17 Grange Street, Kilmarnock, Ayrshire, West Scotland	KA1 2DF
1EPZH2	Forest Hill Jobcentre	Heron House, 32-34 Dartmouth Road, Forest Hill, London, South London	SE23 3XU
25DTMQ	Winsford Jobcentre	High Street, Winsford, Cheshire, Greater Manchester Central & Cheshire Community	CW7 2AH
227063	Glossop Jobcentre	Howard Street, Glossop, Derbyshire, Derbyshire	SK13 7DF
E2M5W	Mexborough Jobcentre	Crown Buildings, Adwick Road, Mexborough, South Yorkshire, South Yorkshire	S64 0BD
DVX8Y	Morriston Jobcentre	Oldway House, Clase Road, Morriston, West Glamorgan, South West Wales	SA6 8BT
14Z14N	Castlemilk Jobcentre	Castlemilk Arcade, Dougrie Drive, Glasgow, Lanarkshire, Glasgow, Lanarkshire and East Dunbartonshire	G45 9AA
2YPBBT	Livingston Jobcentre	Regional Centre, Almondvale South, Livingston, West Lothian, East and South East of Scotland	EH54 6NQ
R5KS2	Reading Jobcentre	Adelphi House, Friar Street, Reading, Berkshire, Thames Valley	RG1 1HD
1B7V1F	Canterbury Jobcentre	Northgate House, 115-120 Northgate, Canterbury, Kent, Kent	CT1 1EZ
1KK6W2	Salisbury Jobcentre	Summerlock House, Summerlock Approach, Salisbury, Wiltshire, Wessex	SP2 7RW
N5Q6J	Ryedale Jobcentre	Norton Road, Malton, North Yorkshire, North East Yorkshire and the Humber	YO17 9RD
1PY6VV	Whitley Bay Jobcentre	158 Whitley Road, Whitley Bay, Tyne and Wear, Tyne & Wear	NE26 2LY
JFB78	Hull West Britannia House Jobcentre	Britannia House, 2 Ferensway, Hull, East Yorkshire, North East Yorkshire and the Humber	HU2 8NF
2TH2W8	Hornchurch Jobcentre	Pioneer House, North Street, Hornchurch, Essex, East London	RM11 1QZ
B2FSG	Fareham Jobcentre	Crown Buildings, Civic Way, Fareham, Hampshire, Hampshire and Isle of Wight	PO16 7HR
2AMHQG	Selby Jobcentre	Flaxley Chambers, Flaxley Road, Selby, North Yorkshire, North East Yorkshire and the Humber	YO8 3BH
2W0AXK	Sheffield Hillsborough Jobcentre	Hillsborough Barracks, Cavalry & Lancer Court, 639-641 Penistone Road, Sheffield, South Yorkshire, South Yorkshire	S6 2GG
2S488Q	Haverhill Jobcentre	65 High Street, Haverhill, Cambridgeshire, East Anglia	CB9 8AH
E0R9H	Machynlleth Jobcentre	43-45 Maen Gwyn Street, Machynlleth, Powys, North and Mid Wales	SY20 8EB
2EFXAR	Croydon Jobcentre	17-21 Dingwall Road, Croydon, Surrey, South London	CR9 2TN
K3WGA	Barnsley Jobcentre	Cooper House, 59 Peel Street, Barnsley, South Yorkshire, South Yorkshire	S70 2RL
604C3	Sheffield Bailey Court Jobcentre	Bailey Court, 112 West Street, Sheffield, South Yorkshire, South Yorkshire	S1 3SY
1J45RX	Goole Jobcentre	Mulberry House, North Street, Goole, East Yorkshire, North East Yorkshire and the Humber	DN14 5QB
1Y5MSX	Sudbury Jobcentre	21 Borehamgate Precinct, Sudbury, Suffolk, East Anglia	CO10 2EG
2F540Q	Bathgate Jobcentre	Government Buildings, 31-33 Whitburn Road, Bathgate, West Lothian, East and South East of Scotland	EH48 1HG
1FKSTD	Slough Upton Lodge Jobcentre	Upton Lodge, 2A Yew Tree Road, Slough, Berkshire, Thames Valley	SL1 2AQ
2DA6SX	Minehead Jobcentre	17 The Avenue, Minehead, Somerset, Wessex	TA24 5XZ
1VDVWP	Coventry Cofa Court Jobcentre	Cofa Court, Cheylesmore, Coventry, West Midlands, Mercia	CV1 2HJ
2P95JJ	Berwick Jobcentre	Norham House, 15 Walkergate, Berwick-upon-Tweed, Northumberland, Tyne & Wear	TD15 1DS
15P77Q	Kennington Park Jobcentre	206-210 Kennington Park Road, Kennington, London, South London	SE11 4DE
