Premise_Id,Input,LR_Uprn,LR_Match,HSE_Uprn,HSE_Match,,,,,
LR_9,SAFFRON HOUSE 2A HIGH STREET BARWELL LEICESTER LE9 8DQ,10033736021,2 A HIGH STREET BARWELL LEICESTERSHIRE LE9 8DQ,10033736888,"SAFFRON HOUSE RESIDENTIAL HOME, 2A, HIGH STREET, BARWELL, LEICESTER, LE9 8DQ",,,,,
LR_21,WOLD HOUSE THREE ASHES CORNER COLD NORTON CHELMSFORD CM3 6JG,100091256861,WOLD HOUSE LATCHINGDON ROAD COLD NORTON ESSEX CM3 6JG,100091256858,"THREE ASHES, LATCHINGDON ROAD, COLD NORTON, CHELMSFORD, CM3 6JG",,,,,
LR_100,FLAT 4 181 ROMFORD ROAD LONDON E15 4JF,10009016140,FLAT 4 181 183 ROMFORD ROAD STRATFORD LONDON NEWHAM E15 4JF,10090851000,"FLAT 4, AMELIA APARTMENTS, 181, ROMFORD ROAD, LONDON, E15 4JF",,,,,
LR_102,96 MAIN STREET COSSINGTON LEICESTER LE7 4UW,10012191596,94 96 MAIN STREET COSSINGTON LEICESTERSHIRE LE7 4UW,100032069987,"96, MAIN STREET, COSSINGTON, LE7 4UW",,,,,
LR_115,FAIRLAWNS HOTEL 300-306 HAGLEY ROAD EDGBASTON BIRMINGHAM B17 8DJ,100071387770,FAIRLAWNS HOTEL 300 302 HAGLEY ROAD HARBORNE BIRMINGHAM BIRMINGHAM B17 8DJ,100070390573,"DORMY HOTEL, 300-306, HAGLEY ROAD, BIRMINGHAM, B17 8DJ",,,,,
LR_120,ST. OSWALDS COURT 22 ST OSWALDS ROAD REDLAND BRISTOL BS6 7HT,57673,22 ST OSWALDS COURT ST OSWALDS ROAD REDLAND BRISTOL BRISTOL BS6 7HX,55771,"22, ST OSWALDS ROAD, REDLAND, BRISTOL, BS6 7HT",,,,,
LR_121,10 HILL HOUSE ROAD DOWNEND BRISTOL BS165RR,660807,10 HILL HOUSE ROAD MANGOTSFIELD SOUTH GLOUCESTERSHIRE BS16 5RT,642795,"10, HILL HOUSE ROAD, BRISTOL, BS16 5RR",,,,,
LR_130,JACKSON HOUSE 5 HONORIUS DRIVE HIGHWOODS COLCHESTER CO4 5GR,303006584,5 JACKSON HOUSE HONORIUS DRIVE COLCHESTER ESSEX CO4 5FR,303003129,"5, HONORIUS DRIVE, COLCHESTER, CO4 5GR",,,,,
LR_131,LICHFIELD HOUSE 21 RUSTAT AVENUE CAMBRIDGE CB1 3PF,10002568352,21 LICHFIELD HOUSE RUSTAT AVENUE CAMBRIDGE CAMBRIDGESHIRE CB1 3RD,10002562788,"21, RUSTAT AVENUE, CAMBRIDGE, CB1 3PF",,,,,
LR_132,1 MILL CLOSE MONK FRYSTON LEEDS LS255ED,10023488716,1 MILL CLOSE SOUTH MILFORD SELBY NORTH YORKSHIRE LS25 5FJ,100050508839,"1, MILL CLOSE, MONK FRYSTON, LEEDS, LS25 5ED",,,,,
LR_137,THE CEDARS 21 DUNSTABLE STREET AMPTHILL BEDFORD MK452NJ,100081213457,21 THE CEDARS DUNSTABLE STREET AMPTHILL CENTRAL BEDFORDSHIRE MK45 2JZ,100080051151,"21, DUNSTABLE STREET, AMPTHILL, MK45 2NJ",,,,,
LR_221,FIRTH HOUSE KRUMLIN BARKISLAND HALIFAX W YORKSHIRE HX4 0EL,10034478278,FIRTH HOUSE SCAMMONDEN ROAD BARKISLAND SOWERBY BRIDGE CALDERDALE HX4 0EL,200001635793,"KRUMLIN, FIRTH HOUSE FARM, SCAMMONDEN ROAD, BARKISLAND, HALIFAX, HX4 0EL",,,,,
LR_222,UPPER ABBOTS ROYD CARAVAN PARK NORTHFIELD BARKISLAND HALIFAX W YORKSHIRE HX4 0DE,10035032814,UPPER ABBOTS ROYD SCAMMONDEN ROAD BARKISLAND SOWERBY BRIDGE CALDERDALE HX4 0DE,10010179140,"CARAVAN PARK, UPPER ABBOTS ROYD, SCAMMONDEN ROAD, BARKISLAND, SOWERBY BRIDGE, HX4 0DE",,,,,
LR_227,WELBOURN MANOR NURSING HOME HIGH STREET WELBOURN LINCOLN LN5 0NN,100032086519,WELBOURN HALL NURSING HOME HALL LANE WELBOURN LINCOLN LINCOLNSHIRE LN5 0NN,100032086282,"WELBOURN MANOR, WELBOURN MANOR CARE HOME, HIGH STREET, WELBOURN, LINCOLN, LN5 0NH",,,,,
