test	address	name	text	postcode
school-eng:102256	9B1AK1J	Purcell School	Aldenham Road, Bushey, Hertfordshire	WD23 2TS
school-eng:117065	2X6MXMZY	Weston Way Nursery School	Weston Way, Baldock, Hertfordshire	SG7 6HD
school-eng:117066	4D4TEC	Arlesdene Nursery School and Pre-School	Blindman's Lane, Cheshunt, Waltham Cross, Hertfordshire	EN8 9DW
school-eng:117067	4D4SBT	Greenfield Nursery School	Hurst Drive, Waltham Cross, Hertfordshire	EN8 8DH
school-eng:117068	2X6MTFQ8	Batford Nursery School	Holcroft Road, Harpenden, Hertfordshire	AL5 5BQ
school-eng:117069	2X6MTB00	Birchwood Nursery School	Birchway, Crawford Road, Hatfield, Hertfordshire	AL10 0PD
school-eng:117070	9AQJZND	Heath Lane Nursery School	Heath Lane, Hemel Hempstead, Hertfordshire	HP1 1TT
school-eng:117071	2X6MXJA5	York Road Nursery School	York Road, Hitchin, Hertfordshire	SG5 1XA
school-eng:117072	4D5GWB	Rye Park Nursery School	Walton Road, Hoddesdon, Hertfordshire	EN11 0LN
school-eng:117073	9C3H97E	Nevells Road Nursery School	Nevells Road, Letchworth, Hertfordshire	SG6 4TS
school-eng:117074	2X6MHB38	Muriel Green Nursery School	6 Lemsford Road, St Albans, Hertfordshire	
school-eng:117075	2X6MTBMX	London Colney Nursery School	Alexander Road, London Colney, St Albans, Hertfordshire	AL2 1JG
school-eng:117076	2X6MYGEW	Kingswood Nursery School	Briar Road, Watford, Hertfordshire	WD25 0DX
school-eng:117077	2X6MYCMV	Oxhey Early Years Centre	Eastbury Road, Oxhey, Watford, Hertfordshire	WD19 4RL
school-eng:117078	2X6MTG52	Tenterfield Nursery School	London Road, Welwyn, Hertfordshire	AL6 9JF
school-eng:117079	2X6MTH2N	Ludwick Nursery School	Holwell Road, Welwyn Garden City, Hertfordshire	AL7 3RP
school-eng:117080	9C3QP0K	Peartree Way Nursery School	Peartree Way, Stevenage, Hertfordshire	SG2 9EA
school-eng:117081	9B1AK8C	Wall Hall Nursery School	University of Hertfordshire, Watford Campus, Aldenham, Watford, Hertfordshire	WD25 8AT
school-eng:117082	9ACAQBC	Lea Valley Education Support Centre	Queen Eleanor Site, Cameron Drive, Waltham Cross, Hertfordshire	EN8 8BN
school-eng:117083	5T8FR7NZ	Abbots Langley School	Parsonage Close, Abbots Langley, Hertfordshire	WD5 0BQ
school-eng:117084	9C3H2ZH	Ashwell Primary School	Silver Street, Ashwell, Baldock, Hertfordshire	SG7 5QL
school-eng:117085	2X6MTK10	Northgate Primary School	Cricketfield Lane, Bishop's Stortford, Hertfordshire	CM23 2RL
school-eng:117086	2X6MV9QV	Bovingdon Junior School	High Street, Bovingdon, Hemel Hempstead, Hertfordshire	HP3 0HL
school-eng:117087	9B09NDE	Jenyns First School and Nursery	Uplands, Braughing, Ware, Hertfordshire	SG11 2QJ
school-eng:117088	9B1AJWD	Bushey Heath Primary School	The Rutts, Bushey Heath, Bushey, Hertfordshire	WD23 1SP
school-eng:117089	9B1AK0C	Highwood Primary School	Bushey Mill Lane, Bushey, Hertfordshire	WD23 2AW
school-eng:117090	9B1AJY1	Merry Hill Infant School and Nursery	School Lane, Bushey, Hertfordshire	WD23 1ST
school-eng:117091	4D50QJ	Holdbrook Primary School	Longcroft Drive, Waltham Cross, Hertfordshire	EN8 7QG
school-eng:117092	4D50QH	Four Swannes Primary School	King Edward Road, Waltham Cross, Hertfordshire	EN8 7HH
school-eng:117093	5T8FR9MQ	Chorleywood Primary School	Stag Lane, Chorleywood, Rickmansworth, Hertfordshire	WD3 5HR
school-eng:117094	9A2MXPG	Beechfield School	Gammons Lane, Watford, Hertfordshire	WD24 5TY
school-eng:117095	2X6MTBHG	New Briars Primary and Nursery School	Hazel Grove, Hatfield, Hertfordshire	AL10 9DX
school-eng:117096	5T8FR93G	Shepherd Primary	Shepherd's Lane, Mill End, Rickmansworth, Hertfordshire	WD3 8JJ
school-eng:117097	5T8FVQCE	Hobletts Manor Junior School	Adeyfield Road, Hemel Hempstead, Hertfordshire	HP2 5JS
school-eng:117098	5T8FR999	The Russell School	Brushwood Drive, Chorleywood, Rickmansworth, Hertfordshire	WD3 5RR
school-eng:117099	9B1AJ1X	Cowley Hill School	Winstre Road, Borehamwood, Hertfordshire	WD6 5DP
school-eng:117100	2X6MTE37	Flamstead Village School	Trowley Hill Road, Flamstead, St Albans, Hertfordshire	AL3 8DL
school-eng:117101	9A2N6TH	Gaddesden Row JMI School	Gaddesden Row, Hemel Hempstead, Hertfordshire	HP2 6HG
school-eng:117102	5T8GM330	Sauncey Wood Primary School	Pickford Hill, Harpenden, Hertfordshire	AL5 5HL
school-eng:117103	2X6MTFDJ	Manland Primary School	Sauncey Avenue, Harpenden, Hertfordshire	AL5 4QW
school-eng:117104	2X6MTB4W	Gascoyne Cecil Junior School	Birchwood Avenue, Hatfield, Hertfordshire	AL10 0PS
school-eng:117105	2X6MTBHN	Green Lanes Primary School	Green Lanes, Hatfield, Hertfordshire	AL10 9JY
school-eng:117106	5T8JQF7A	George Street Primary School	George Street, Hemel Hempstead, Hertfordshire	HP2 5HJ
school-eng:117107	5T8JQEZ2	Boxmoor Primary School	Cowper Road, Boxmoor, Hemel Hempstead, Hertfordshire	HP1 1PF
school-eng:117108	2X6MV9Y3	Two Waters Primary School	High Ridge Close, Apsley, Hemel Hempstead, Hertfordshire	HP3 0AU
school-eng:117109	2X6MVAE8	Tudor Primary School	Redwood Drive, Hemel Hempstead, Hertfordshire	HP3 9ER
school-eng:117110	9A2N6DJ	South Hill Primary School	Heath Lane, Hemel Hempstead, Hertfordshire	HP1 1TT
school-eng:117111	9B09VV9	Abel Smith School	Churchfields, Greencoates, Hertford, Hertfordshire	SG13 8AE
school-eng:117112	9C3H2AA	Hexton Junior Mixed and Infant School	Hexton, Hitchin, Hertfordshire	SG5 3JL
school-eng:117113	2X6MXHN8	Highbury Infant School and Nursery	Standhill Road, Hitchin, Hertfordshire	SG4 9AG
school-eng:117114	5T8GM5Z2	Strathmore Infant and Nursery School	Old Hale Way, Hitchin, Hertfordshire	SG5 1XR
school-eng:117115	2X6MXGR1	Highover Junior Mixed and Infant School	Cambridge Road, Hitchin, Hertfordshire	SG4 0JP
school-eng:117116	9C3H8GG	Wilshere-Dacre Junior School	Fishponds Road, Hitchin, Hertfordshire	SG5 1NS
school-eng:117117	9B09WAB	Hunsdon Junior Mixed and Infant School	High Street, Ware, Hertfordshire	SG12 8NT
school-eng:117118	2X6MXHA3	Kimpton Primary School	High Street, Kimpton, Hitchin, Hertfordshire	SG4 8RB
school-eng:117119	9C3H4CS	Breachwood Green Junior Mixed and Infant School	Oxford Road, Breachwood Green, Hitchin, Hertfordshire	SG4 8NP
school-eng:117120	9C3H3W0	Knebworth Primary and Nursery School	Swangleys Lane, Knebworth, Hertfordshire	SG3 6AA
school-eng:117121	2X6MXM4C	Wilbury Junior School	Bedford Road, Letchworth Garden City, Hertfordshire	SG6 4DU
school-eng:117122	2X6MXMAX	Grange Junior School	Sparhawke, Letchworth Garden City, Hertfordshire	SG6 4PY
school-eng:117123	2X6MXKC1	Hillshott Infant School and Nursery	Ridge Avenue, Letchworth, Hertfordshire	SG6 1QE
school-eng:117124	9C3H9JV	Westbury Primary and Nursery School	West View, Letchworth, Hertfordshire	SG6 3QN
school-eng:117125	9B09MHA	Hertford Heath Primary and Nursery School	Woodland Road, Hertford Heath, Hertford, Hertfordshire	SG13 7QW
school-eng:117126	9B09XQM	Little Hadham Primary School	Stortford Road, Little Hadham, Ware, Hertfordshire	SG11 2DX
school-eng:117127	5T8JQERT	Markyate Village School and Nursery	Cavendish Road, Markyate, St Albans, Hertfordshire	AL3 8PT
school-eng:117128	5T8GM5Z6	Pirton School	High Street, Pirton, Hitchin, Hertfordshire	SG5 3PS
school-eng:117129	2X6MXNM0	Reed First School	Jacksons Lane, Reed, Royston, Hertfordshire	SG8 8AB
school-eng:117130	5T8FRBSD	Yorke Mead Primary School	Dulwich Way, Croxley Green, Rickmansworth, Hertfordshire	WD3 3PX
school-eng:117131	5T8FR9S8	Harvey Road Primary School	Harvey Road, Croxley Green, Rickmansworth, Hertfordshire	WD3 3BN
school-eng:117132	5T8FR9SA	Little Green Junior School	Lincoln Drive, Croxley Green, Rickmansworth, Hertfordshire	WD3 3NJ
school-eng:117133	5T8FR9SP	Malvern Way Infant and Nursery School	Malvern Way, Croxley Green, Rickmansworth, Hertfordshire	WD3 3QQ
school-eng:117134	2X6MXNAM	Tannery Drift School	Tannery Drift, Royston, Hertfordshire	SG8 5DE
school-eng:117135	2X6MTANG	Bernards Heath Infant and Nursery School	154 Sandridge Road, St Albans, Hertfordshire	AL1 4AP
school-eng:117136	5T8JAKCQ	Camp Primary and Nursery School	Camp Road, St Albans, Hertfordshire	AL1 5PG
school-eng:117137	5T8JAG03	Fleetville Junior School	228 Hatfield Road, St Albans, Hertfordshire	AL1 4LW
school-eng:117138	2X6MTAHR	Fleetville Infant and Nursery School	Royal Road, St Albans, Hertfordshire	AL1 4LX
school-eng:117139	5T8JAKZZ	Garden Fields Junior Mixed and Infant School	Townsend Drive, St Albans, Hertfordshire	AL3 5RL
school-eng:117140	2X6MT9N0	St Peter's School	Cottonmill Lane, St Albans, Hertfordshire	AL1 1HL
school-eng:117141	2X6MTDHF	Aboyne Lodge Junior Mixed and Infant School	Etna Road, St Albans, Hertfordshire	AL3 5NL
school-eng:117142	2X6MT9TB	Mandeville Primary School	Mandeville Drive, St Albans, Hertfordshire	AL1 2LE
school-eng:117143	5T8JAQW9	Bernards Heath Junior School	Watson Avenue, St Albans, Hertfordshire	AL3 5HP
school-eng:117144	2X6MXHA2	St Paul's Walden Primary School	Bendish Lane, Whitwell, Hitchin, Hertfordshire	SG4 8HX
school-eng:117145	2X6MTEC1	Colney Heath Junior Mixed Infant and Nursery School	High Street, Colney Heath, St Albans, Hertfordshire	AL4 0NP
school-eng:117146	2X6MTBMW	London Colney Primary & Nursery School	Alexander Road, London Colney, St Albans, Hertfordshire	AL2 1JG
school-eng:117147	2X6MXNX1	Sandon Junior Mixed and Infant School	Sandon, Buntingford, Hertfordshire	SG9 0QS
school-eng:117148	2X6MTEVR	Sandridge School	Woodcock Hill, Sandridge, St Albans, Hertfordshire	AL4 9EB
school-eng:117149	9B09WDC	Fawbert and Barnard Infants' School	Knight Street, Sawbridgeworth, Hertfordshire	CM21 9AT
school-eng:117150	9B1AHCZ	Shenley Primary School	London Road, Shenley, Radlett, Hertfordshire	WD7 9DX
school-eng:117151	9C3QN7X	Letchmore Infants' and Nursery School	Letchmore Road, Stevenage, Hertfordshire	SG1 3PS
school-eng:117152	9C3QN1A	Fairlands Primary School and Nursery	Pound Avenue, Stevenage, Hertfordshire	SG1 3JA
school-eng:117153	2X6MXNSQ	Therfield First School	The Causeway, Therfield, Royston, Hertfordshire	SG8 9PP
school-eng:117154	2X6MXFT3	Walkern Primary School	High Street, Walkern, Stevenage, Hertfordshire	SG2 7NS
school-eng:117155	2X6MYG70	The Orchard Primary School	Gammons Lane, Watford, Hertfordshire	WD24 5JW
school-eng:117156	5T8FR0MP	Central Primary School	Derby Road, Watford, Hertfordshire	WD17 2LX
school-eng:117157	5T8FR2HA	Bushey and Oxhey Infant School	Aldenham Road, Bushey, Hertfordshire	WD23 2QH
school-eng:117158	2X6MYDFF	Chater Junior School	Addiscombe Road, Watford, Hertfordshire	WD18 0WN
school-eng:117159	2X6MYDDS	Chater Infant School	Southsea Avenue, Watford, Hertfordshire	WD18 7NJ
school-eng:117160	2X6MYE01	Field Junior School	Watford Field Road, Watford, Hertfordshire	WD18 0AZ
school-eng:117161	5T8FR161	Watford Field School (Infant & Nursery)	Neal Street, Watford, Hertfordshire	WD18 0WF
school-eng:117162	2X6MYFQH	Parkgate Junior School	Southwold Road, Watford, Hertfordshire	WD24 7DN
school-eng:117163	2X6MYFQM	Parkgate Infants' and Nursery School	Northfield Gardens, Watford, Hertfordshire	WD24 7RL
school-eng:117164	9A2MY3R	Garston Infants' School	Fourth Avenue, Watford, Hertfordshire	WD25 9PP
school-eng:117165	2X6MYFQJ	Knutsford School	Balmoral Road, Watford, Hertfordshire	WD24 7ER
school-eng:117166	2X6MYCWQ	St Meryl School	The Mead, Carpenders Park, Watford, Hertfordshire	WD19 5BT
school-eng:117167	5T8FR15R	Cassiobury Junior School	Bellmount Wood Avenue, Watford, Hertfordshire	WD17 3PD
school-eng:117168	2X6MYGF8	Kingsway Junior School	Briar Road, Watford, Hertfordshire	WD25 0JH
school-eng:117169	5T8FR6C3	Warren Dell Primary School	Gosforth Lane, South Oxhey, Watford, Hertfordshire	WD19 7UZ
school-eng:117170	5T8FRCN0	Oxhey Wood Primary School	Oxhey Drive, South Oxhey, Watford, Hertfordshire	WD19 7SL
